,country (nominal),population (discrete data),tests (discrete data),Gini (discrete data),%urban pop. (continuous data),Actual cases,Pop*1.1,SKLearn Predictions EU,Statsmodel Predictions EU,SKLearn Predictions Hypothetical EU,Statsmodel Predictions Hypothetical EU
0,Albania,2875589,506676,0.637,61,117474,3163147.9000000004,197274.59950164374,290415.1696993739,222913.58769051055,312519.84892987204
1,Austria,9042407,6033827,0.739,59,495464,9946647.7,694155.4821261413,850624.7941116695,731920.1442377389,883183.6352046069
2,Belgium,11624988,10110146,0.603,98,808283,12787486.8,898978.1859046598,1031987.2140688003,924818.5906718895,1054265.5448031574
3,Bosnia and Herzegovina,3266449,702920,0.642,49,142160,3593093.9000000004,248364.64965260783,320448.7963664928,276259.2170620622,344498.1254709557
4,Croatia,4087440,1431342,0.645,57,251174,4496184.0,302952.3975664166,392708.47006353113,332532.7774073413,418211.2240366329
5,Cyprus,1213513,2563270,0.801,67,39651,1334864.3,35433.91850059403,256038.25303515798,23577.93792973361,245816.60756493278
6,Czechia,10722926,9665502,0.725,74,1402420,11795218.6,834485.9225663096,1006948.4573100163,855040.9221328525,1024669.9706807645
7,Denmark,5806809,20418687,0.838,88,220459,6387489.9,509668.0383275302,776928.110872409,374245.6772919919,660173.5872821555
8,Estonia,1327161,1038888,0.716,69,86086,1459877.1,49228.48181717054,214657.04758721325,53291.665983561186,218160.1258674827
9,Finland,5546762,3596402,0.742,85,67334,6101438.2,359182.43212051824,573414.9081220827,383359.83582069806,594259.4808283801
10,France,65374874,57231533,0.696,81,4071662,71912361.4,5437676.776423956,5550810.871076449,5579369.066092212,5672971.019888859
11,Germany,83971874,46319641,0.816,77,2578835,92369061.4,6717938.457309463,6927584.841623625,7162385.298904049,7310765.129242084
12,Greece,10387221,5856618,0.654,79,221147,11425943.1,783049.8053638649,919505.5865565595,836802.2506499827,965848.3108540992
13,Hungary,9643103,4104415,0.663,72,524196,10607413.3,719375.6416698351,850231.1532559381,782139.4512948948,904343.0343031173
14,Ireland,4976339,3720861,0.796,63,225741,5473972.9,340563.6371802762,548591.9163654803,357483.8294465155,563179.676998171
15,Italy,60399338,44623304,0.669,71,3223142,66439271.8,4963163.004951928,5052236.066395054,5173720.225885791,5233768.184360191
16,Latvia,1871486,1670193,0.789,68,93959,2058634.6,78314.12625614123,293619.0807423709,82063.17761801128,296851.3291120155
17,Lithuania,2695463,2218746,0.663,68,205644,2965009.3000000003,180786.47752251162,304644.98825350095,187989.05170915544,310854.69476987445
18,Luxembourg,633079,2248588,0.67,91,57877,696386.9,-17456.676664230592,157925.87206919733,-32437.77458950738,145009.90355594998
19,Moldova,4027371,771763,0.645,43,204463,4430108.100000001,316413.0294681534,378478.15117568895,351721.6155705319,408919.4838884365
20,Netherlands,17161479,6970400,0.902,92,1157192,18877626.9,1217182.4960347312,1558854.3098455835,1332105.318990719,1657935.1362413976
21,Norway,5450917,4115415,0.798,83,80440,5996008.7,345007.2752979537,594840.5843203764,363157.8605393626,610489.1294833784
22,Poland,37817481,10668987,0.677,60,1917527,41599229.1,2938349.5023302278,3051552.414554774,3236873.3120045145,3308925.0147099453
23,Portugal,10175800,8480932,0.692,66,814257,11193380.0,804529.5289012053,938342.8827898689,830708.7714653428,960913.3428686697
24,Romania,19147305,6774562,0.647,54,862681,21062035.5,1502309.7371734066,1583199.194522034,1640205.5546730186,1702086.2110689592
25,Serbia,8712609,3149048,0.676,56,516277,9583869.9,663822.6393703439,772508.5937741785,725928.4431966752,826053.1744659165
26,Slovak Republic,5461499,2200380,0.498,54,337960,6007648.9,460304.4487496026,437161.97777000244,497050.37569087377,468842.51532010845
27,Slovenia,2079139,976907,0.662,55,200579,2287052.9000000004,144938.17987332057,243091.12126822092,157583.07751209932,253992.93237514523
28,Spain,46767497,40292390,0.694,81,3183704,51444246.7,3862354.6812689514,3992976.2572065215,3969987.0346227502,4085771.597965813
29,Sweden,10143382,6627544,0.867,88,712527,11157720.2,697756.4932251456,1005121.5836015011,741479.5734825673,1042817.4808397278
30,Switzerland,8698941,5387481,0.705,74,570645,9568835.1,645064.5099081056,808401.6132561839,685420.9271483443,843194.9386174001
31,UK,68135945,103053938,0.746,84,4258438,74949539.5,6070540.840771213,6165426.968342058,5799290.713413681,5931568.400589623
32,Ukraine,43548757,7328468,0.847,69,1467548,47903632.7,3278732.223371351,3538459.3586992514,3670344.1837706403,3876088.000815937
