,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
0,2021-02-11,Arunachal Pradesh,Anjaw,204,204,0,2845.0,21167
1,2021-02-11,Arunachal Pradesh,Changlang,1282,1278,4,23861.0,148226
2,2021-02-11,Arunachal Pradesh,East Kameng,304,304,0,7489.0,78690
3,2021-02-11,Arunachal Pradesh,East Siang,1144,1140,4,21867.0,99214
4,2021-02-11,Arunachal Pradesh,Kurung Kumey,117,117,0,4201.0,92076
5,2021-02-11,Arunachal Pradesh,Lohit,573,572,0,14945.0,145726
6,2021-02-11,Arunachal Pradesh,Lower Dibang Valley,475,474,0,12169.0,54080
7,2021-02-11,Arunachal Pradesh,Lower Subansiri,381,380,1,10564.0,83030
8,2021-02-11,Arunachal Pradesh,Papum Pare,6779,6750,29,41960.0,176573
9,2021-02-11,Arunachal Pradesh,Tawang,492,490,2,14224.0,49977
10,2021-02-11,Arunachal Pradesh,Tirap,587,585,2,14657.0,111975
11,2021-02-11,Arunachal Pradesh,Upper Siang,361,361,0,6564.0,35320
12,2021-02-11,Arunachal Pradesh,Upper Subansiri,441,439,2,6217.0,83448
13,2021-02-11,Arunachal Pradesh,West Kameng,949,944,4,28155.0,83947
14,2021-02-11,Arunachal Pradesh,West Siang,1030,1026,3,13192.0,112274
15,2021-02-11,Bihar,Araria,7252,7228,22,219221.0,2811569
16,2021-02-11,Bihar,Aurangabad,5524,5473,16,412007.0,2540073
17,2021-02-11,Bihar,Aurangabad,5524,5473,16,412007.0,3701282
18,2021-02-11,Maharashtra,Aurangabad,49791,47975,1249,11800.0,2540073
19,2021-02-11,Maharashtra,Aurangabad,49791,47975,1249,11800.0,3701282
20,2021-02-11,Bihar,Begusarai,8109,8055,36,213670.0,2970541
21,2021-02-11,Bihar,Bhagalpur,9546,9456,80,582113.0,3037766
22,2021-02-11,Bihar,Bhojpur,5107,5056,48,466438.0,2728407
23,2021-02-11,Bihar,Darbhanga,4258,4211,39,448442.0,3937385
24,2021-02-11,Bihar,Gaya,8072,7963,60,872359.0,4391418
25,2021-02-11,Bihar,Gopalganj,5819,5798,15,562654.0,2562012
26,2021-02-11,Bihar,Jehanabad,4583,4554,25,492255.0,1125313
27,2021-02-11,Bihar,Katihar,7227,7212,12,556438.0,3071029
28,2021-02-11,Bihar,Khagaria,3133,3118,14,148340.0,1666886
29,2021-02-11,Bihar,Kishanganj,4318,4302,13,294321.0,1690400
30,2021-02-11,Bihar,Madhepura,4875,4848,17,455482.0,2001762
31,2021-02-11,Bihar,Madhubani,7728,7689,34,715168.0,4487379
32,2021-02-11,Bihar,Munger,4257,4198,55,325212.0,1367765
33,2021-02-11,Bihar,Muzaffarpur,11918,11849,51,722651.0,4801062
34,2021-02-11,Bihar,Nalanda,8331,8261,58,591346.0,2877653
35,2021-02-11,Bihar,Nawada,4241,4210,25,322514.0,2219146
36,2021-02-11,Bihar,Patna,52537,51800,429,676238.0,5838465
37,2021-02-11,Bihar,Purnia,9400,9368,25,568756.0,3264619
38,2021-02-11,Bihar,Rohtas,6846,6790,45,521553.0,2959918
39,2021-02-11,Bihar,Saharsa,6853,6828,12,356327.0,1900661
40,2021-02-11,Bihar,Samastipur,5328,5281,35,614569.0,4261566
