,Unnamed: 0,country (nominal),population (discrete data),tests (discrete data),Gini (discrete data),%urban pop. (continuous data),Actual cases,Pop*1.1,SKLearn Predictions EU,Statsmodel Predictions EU,SKLearn Predictions Hypothetical EU,Statsmodel Predictions Hypothetical EU
0,0,Albania,2875589,506676,0.637,61,117474,3163147.9000000004,211764.55051161547,167977.5807442868,227342.60940265562,181408.2197493696
1,1,Austria,9042407,6033827,0.739,59,495464,9946647.7,505931.2550248812,481183.235693147,533144.8802702501,504645.48983190727
2,2,Belgium,11624988,10110146,0.603,98,808283,12787486.8,570197.0825231428,605739.6782830956,592338.2976849548,624828.7490108483
3,3,Bosnia and Herzegovina,3266449,702920,0.642,49,142160,3593093.9000000004,255749.70497644134,182375.2131200863,272935.0588794032,197191.58312225796
4,4,Croatia,4087440,1431342,0.645,57,251174,4496184.0,277827.04931990313,225355.14771741428,296603.2833220756,241543.0965833145
5,5,Cyprus,1213513,2563270,0.801,67,39651,1334864.3,120630.45952374625,135165.0540123854,113052.07108673613,128631.33886535143
6,6,Czechia,10722926,9665502,0.725,74,1402420,11795218.6,568317.6295978869,575666.8861881202,586702.7206638865,591517.6107816081
7,7,Denmark,5806809,20418687,0.838,88,220459,6387489.9,371987.93050453934,437192.1082427426,295515.13704371144,371261.0131129528
8,8,Estonia,1327161,1038888,0.716,69,86086,1459877.1,121422.60687335955,119135.40215920508,123239.59015267031,120701.91610509406
9,9,Finland,5546762,3596402,0.742,85,67334,6101438.2,282220.80692220404,326619.14286389964,298911.68514405575,341009.2001645831
10,10,France,65374874,57231533,0.696,81,4071662,71912361.4,3209920.9635750935,3196433.163896515,3339423.2639452517,3308083.7012814884
11,11,Germany,83971874,46319641,0.816,77,2578835,92369061.4,3956347.6356025054,3975842.0943031437,4276640.879683655,4251983.234037503
12,12,Greece,10387221,5856618,0.654,79,221147,11425943.1,528561.5292742867,532341.6910091741,566117.6154255973,564720.7081299884
13,13,Hungary,9643103,4104415,0.663,72,524196,10607413.3,500618.8809750428,490141.59350571904,542897.8526910085,526592.4511250746
14,14,Ireland,4976339,3720861,0.796,63,225741,5473972.9,300701.62557143276,303112.0980289502,312727.3098258252,313480.05369913636
15,15,Italy,60399338,44623304,0.669,71,3223142,66439271.8,2946322.4507842446,2909034.485375642,3112440.868453023,3052253.6447978816
16,16,Latvia,1871486,1670193,0.789,68,93959,2058634.6,143358.93404405046,157962.17168890146,145393.15354040472,159715.97605591087
17,17,Lithuania,2695463,2218746,0.663,68,205644,2965009.3000000003,195505.04418250918,175440.58365688854,200166.33635529262,179459.32135121574
18,18,Luxembourg,633079,2248588,0.67,91,57877,696386.9,54450.52058318205,95151.80914545854,44616.56343757955,86673.45318738687
19,19,Moldova,4027371,771763,0.645,43,204463,4430108.100000001,302207.37583881395,214261.17967733415,324289.978700471,233299.71775206862
20,20,Netherlands,17161479,6970400,0.902,92,1157192,18877626.9,776243.6115623373,880898.2602955314,854570.628317175,948427.9758870131
21,21,Norway,5450917,4115415,0.798,83,80440,5996008.7,279541.47214344825,333644.0387585302,292636.45748583844,344933.89342788496
22,22,Poland,37817481,10668987,0.677,60,1917527,41599229.1,1792302.8613666357,1752831.1693993933,1993240.7044405928,1926069.9311515708
23,23,Portugal,10175800,8480932,0.692,66,814257,11193380.0,558734.035682674,537391.7751321237,580005.8881247587,555731.3239242616
24,24,Romania,19147305,6774562,0.647,54,862681,21062035.5,971694.0356375831,909577.2616309633,1064921.605497374,989953.5039385428
25,25,Serbia,8712609,3149048,0.676,56,516277,9583869.9,488376.85770794307,440960.57495130855,529585.4811969955,476488.63077963545
26,26,Slovak Republic,5461499,2200380,0.498,54,337960,6007648.9,363992.50539918843,263310.33135513443,387972.32313160907,283984.5551223242
27,27,Slovenia,2079139,976907,0.662,55,200579,2287052.9000000004,190228.22880211697,137378.18578400544,197618.89605928637,143750.05692867152
28,28,Spain,46767497,40292390,0.694,81,3183704,51444246.7,2302333.322109653,2299409.040496251,2398205.498160313,2382065.3326681056
29,29,Sweden,10143382,6627544,0.867,88,712527,11157720.2,480399.0921819853,564721.2126208426,511909.0407437432,591887.5461904956
30,30,Switzerland,8698941,5387481,0.705,74,570645,9568835.1,457901.13558249903,462904.4378594708,486377.7470450826,487455.5768246685
31,31,UK,68135945,103053938,0.746,84,4258438,74949539.5,3577348.5518335323,3549842.5751188076,3467341.0002255887,3454999.454816502
32,32,Ukraine,43548757,7328468,0.847,69,1467548,47903632.7,1986193.52583321,2019412.7243445904,2245803.747893154,2243235.9361390923
