States,Tests,Population,Population density (per sq km),Median age,% urban population,Global Freedom Scores,Human Freedom Index,strigency index,containment_index,most recent arrivals 2018 or 2019,Gini - gov 2019,% always or frequently wearing facemask outside,Vaccine acceptance (%),,,,,,,,,,,,,,,,,,,,"Predicted cases (tests, population & gini)",,Predicted cases (tests & population),,Actual cases (measured)
Alabama,2311207,4903185,37.45190938,39,59,,,,,,0.474,90.7,76.18,,,,,,,,,,,,,,,,,,,,,,393667,,486843
Alaska,1724484,731545,0.3861021585,34.3,66,,,,,,0.438,91.1,83.35,,,,,,,,,,,,,,,,,,,,,,70137,,55198
Arizona,7775843,7278717,25.48274246,37.7,89.8,,,,,,0.459,93.3,82.47,,,,,,,,,,,,,,,,,,,,,,620304,,807967
Arkansas,2719229,3017804,22.3939252,38.1,56.2,,,,,,0.475,88.6,77.53,,,,,,,,,,,,,,,,,,,,,,253011,,315514
California,49147685,39512223,98.06994827,36.5,95,,,,,,0.487,96.4,87.71,,,,,,,,,,,,,,,,,,,,,,3.42E+06,,3441946
Colorado,6310233,5758736,22.00782304,36.7,86.2,,,,,,0.455,94,84.63,,,,,,,,,,,,,,,,,,,,,,492076,,420614
Connecticut,6478498,3565287,283.3989844,41,88,,,,,,0.502,97,89.91,,,,,,,,,,,,,,,,,,,,,,325904,,273101
Delaware,1413640,973764,196.1398965,40.6,83,,,,,,0.451,96.2,85.8,,,,,,,,,,,,,,,,,,,,,,86071.6,,84732
District of Columbia,1241816,705749,4.453688399,33.9,100,,,,,,0.512,98,91.11,,,,,,,,,,,,,,,,,,,,,,64177.2,,39648
Florida,22079838,21477737,157.9157828,42,91.2,,,,,,0.481,91.5,80.87,,,,,,,,,,,,,,,,,,,,,,1.82E+06,,1834708
Georgia,7279616,10617423,72.58720581,36.7,75.1,,,,,,0.48,90.6,78.3,,,,,,,,,,,,,,,,,,,,,,871254,,985505
Hawaii,1131093,1415872,84.55637272,39.1,91.9,,,,,,0.44,99.6,88.62,,,,,,,,,,,,,,,,,,,,,,117510,,26357
Idaho,1096824,1787065,8.880349646,36.4,75.1,,,,,,0.434,81.7,77.68,,,,,,,,,,,,,,,,,,,,,,145583,,169150
Illinois,18389512,12671821,87.25908783,38.1,88.5,,,,,,0.48,95.5,84.69,,,,,,,,,,,,,,,,,,,,,,1.12E+06,,1174409
Indiana,8133596,6732219,73.35941012,37.7,72.4,,,,,,0.458,93.3,880.14,,,,,,,,,,,,,,,,,,,,,,581512,,655541
Iowa,2734777,3155070,22.00782304,38.2,64,,,,,,0.442,92.3,82.9,,,,,,,,,,,,,,,,,,,,,,263625,,332641
Kansas,2504238,2913314,13.89967771,36.7,74.2,,,,,,0.45,92.9,80.61,,,,,,,,,,,,,,,,,,,,,,243252,,290832
Kentucky,3954639,4467673,43.62954392,38.9,58.4,,,,,,0.476,93.3,79.39,,,,,,,,,,,,,,,,,,,,,,373980,,396997
Louisiana,5594088,4648794,41.31293096,36.9,73.2,,,,,,0.489,90.9,78.16,,,,,,,,,,,,,,,,,,,,,,401366,,424176
Maine,1633308,1344212,16.98849498,44.7,38.7,,,,,,0.449,93,85.41,,,,,,,,,,,,,,,,,,,,,,116186,,43594
