County,Population,Cumulative cases
"Abbeville County, SC","24,527","2,184"
"Acadia Parish, LA","62,045","6,021"
"Accomack County, VA","32,316","2,559"
"Ada County, ID","481,587","46,190"
"Adair County, IA","7,152",908
"Adair County, KY","19,202","1,523"
"Adair County, MO","25,343","2,056"
"Adair County, OK","22,194","3,074"
"Adams County, CO","517,421","47,716"
"Adams County, IA","3,602",326
"Adams County, ID","4,294",324
"Adams County, IL","65,435","7,952"
"Adams County, IN","35,777","3,192"
"Adams County, MS","30,693","2,319"
"Adams County, ND","2,216",265
"Adams County, NE","31,363","2,690"
"Adams County, OH","27,698","2,129"
"Adams County, PA","103,009","7,120"
"Adams County, WA","19,983","1,899"
"Adams County, WI","20,220","1,729"
"Addison County, VT","36,777",705
"Adjuntas Municipio, PR","19,483",376
"Aguada Municipio, PR","41,959",973
"Aguadilla Municipio, PR","60,949","1,115"
"Aguas Buenas Municipio, PR","28,659",843
"Aibonito Municipio, PR","25,900",433
"Aiken County, SC","170,872","15,268"
"Aitkin County, MN","15,886","1,168"
"Alachua County, FL","269,043","22,133"
"Alamance County, NC","169,509","15,376"
"Alameda County, CA","1,671,329","79,539"
"Alamosa County, CO","16,233","1,257"
"Albany County, NY","305,506","20,392"
"Albany County, WY","38,880","3,887"
"Albemarle County, VA","109,330","4,630"
"Alcona County, MI","10,405",427
"Alcorn County, MS","36,953","2,895"
"Aleutians East Borough, AK","3,337",356
"Aleutians West Census Area, AK","5,634",491
"Alexander County, IL","5,761",442
"Alexander County, NC","37,497","3,839"
"Alexandria city, VA","159,428","10,171"
"Alfalfa County, OK","5,702","1,139"
"Alger County, MI","9,108",433
"Allamakee County, IA","13,687","1,431"
"Allegan County, MI","118,081","7,211"
"Allegany County, MD","70,416","6,391"
"Allegany County, NY","46,091","2,839"
"Alleghany County, NC","11,137",902
"Alleghany County, VA","14,860","1,154"
"Allegheny County, PA","1,216,045","74,866"
"Allen County, IN","379,299","35,439"
"Allen County, KS","12,369","1,088"
"Allen County, KY","21,315","1,781"
"Allen County, OH","102,351","10,691"
"Allen Parish, LA","25,627","2,946"
"Allendale County, SC","8,688",822
"Alpena County, MI","28,405","1,466"
"Alpine County, CA","1,129",80
"Amador County, CA","39,752","3,432"
"Amelia County, VA","13,145",745
"Amherst County, VA","31,605","2,641"
"Amite County, MS","12,297","1,102"
"Añasco Municipio, PR","29,261",617
"Anchorage Municipality, AK","288,000","26,359"
"Anderson County, KS","7,858",803
"Anderson County, KY","22,747","1,595"
"Anderson County, SC","202,558","19,717"
"Anderson County, TN","76,978","7,853"
"Anderson County, TX","57,735","6,020"
"Andrew County, MO","17,712","1,280"
"Andrews County, TX","18,705","1,679"
"Androscoggin County, ME","108,277","4,707"
"Angelina County, TX","86,715","7,656"
"Anne Arundel County, MD","579,234","35,094"
"Anoka County, MN","356,921","32,902"
"Anson County, NC","24,446","2,247"
"Antelope County, NE","6,298",466
"Antrim County, MI","23,324",910
"Apache County, AZ","71,887","10,268"
"Appanoose County, IA","12,426","1,361"
