,country (nominal),population (discrete data),tests (discrete data),Gini (discrete data),%urban pop. (continuous data),Actual cases,Pop*1.1,Neural network Predictions EU,Neural network Predictions Hypo EU
0,Albania,2875589,506676,0.637,61,117474,3163147.9000000004,488909.50405971706,61277.8806118276
1,Austria,9042407,6033827,0.739,59,495464,9946647.7,931710.2705830336,263981.2768123746
2,Belgium,11624988,10110146,0.603,98,808283,12787486.8,995722.7544250488,889964.4019101858
3,Bosnia and Herzegovina,3266449,702920,0.642,49,142160,3593093.9000000004,444743.693096593,-33794.666204133995
4,Croatia,4087440,1431342,0.645,57,251174,4496184.0,542559.0148231685,85554.71745926328
5,Cyprus,1213513,2563270,0.801,67,39651,1334864.3,697175.7171912044,-231018.75626132637
6,Czechia,10722926,9665502,0.725,74,1402420,11795218.6,1121669.6626791954,553662.087174207
7,Denmark,5806809,20418687,0.838,88,220459,6387489.9,1337418.4832367897,196037.48481879753
8,Estonia,1327161,1038888,0.716,69,86086,1459877.1,576925.9032470435,-85463.2456718143
9,Finland,5546762,3596402,0.742,85,67334,6101438.2,842443.2461189777,306978.23041921854
10,France,65374874,57231533,0.696,81,4071662,71912361.4,4354507.453201294,4618134.58324635
11,Germany,83971874,46319641,0.816,77,2578835,92369061.4,4703065.7628593445,5555381.878884673
12,Greece,10387221,5856618,0.654,79,221147,11425943.1,930251.522710532,693680.2279697955
13,Hungary,9643103,4104415,0.663,72,524196,10607413.3,868746.7246237099,578109.214270711
14,Ireland,4976339,3720861,0.796,63,225741,5473972.9,824489.3397184461,-27162.14381982572
15,Italy,60399338,44623304,0.669,71,3223142,66439271.8,3729374.387608766,4173302.3869692083
16,Latvia,1871486,1670193,0.789,68,93959,2058634.6,692463.9237689823,-165414.23670771345
17,Lithuania,2695463,2218746,0.663,68,205644,2965009.3000000003,573241.5970350653,78910.80578934588
18,Luxembourg,633079,2248588,0.67,91,57877,696386.9,503057.2439995557,49654.73159999214
19,Moldova,4027371,771763,0.645,43,204463,4430108.100000001,427422.99011750513,-45016.4067395348
20,Netherlands,17161479,6970400,0.902,92,1157192,18877626.9,1579029.3581039608,857438.5429856479
21,Norway,5450917,4115415,0.798,83,80440,5996008.7,932511.5042719841,188271.06456699592
22,Poland,37817481,10668987,0.677,60,1917527,41599229.1,1931934.901898682,2410898.7952982183
23,Portugal,10175800,8480932,0.692,66,814257,11193380.0,1012476.85321334,486977.1559833884
24,Romania,19147305,6774562,0.647,54,862681,21062035.5,1146408.4167749286,1045353.0731211901
25,Serbia,8712609,3149048,0.676,56,516277,9583869.9,773613.0433912724,309692.14906808734
26,Slovak Republic,5461499,2200380,0.498,54,337960,6007648.9,405724.4347204789,422300.21202579135
27,Slovenia,2079139,976907,0.662,55,200579,2287052.9000000004,471603.1526019573,-80155.08525077438
28,Spain,46767497,40292390,0.694,81,3183704,51444246.7,3146365.948276877,3296466.9265834684
29,Sweden,10143382,6627544,0.867,88,712527,11157720.2,1259196.8696733117,426429.77291014785
30,Switzerland,8698941,5387481,0.705,74,570645,9568835.1,927433.2107890844,459193.2235685587
31,UK,68135945,103053938,0.746,84,4258438,74949539.5,5626236.92294538,4720451.022147894
32,Ukraine,43548757,7328468,0.847,69,1467548,47903632.7,2275496.0220448966,2505966.541249394
