,District,State,Population
1,Adilabad District,Andhra Pradesh,2741239
2,Agra,Uttar Pradesh,4418797
3,Ahmadabad,Gujarat,7214225
4,Ahmadnagar,Maharashtra,4543159
5,Aizawl,Mizoram,400309
6,Ajmer,Rajasthan,2583052
7,Akola,Maharashtra,1813906
8,Alappuzha,Kerala,2127789
9,Aligarh,Uttar Pradesh,3673889
10,Alirajpur *,Madhya Pradesh,728999
11,Allahabad,Uttar Pradesh,5954391
12,Almora,Uttarakhand,622506
13,Alwar,Rajasthan,3674179
14,Ambala,Haryana,1128350
15,Ambedkar Nagar,Uttar Pradesh,2397888
16,Amravati,Maharashtra,2888445
17,Amreli,Gujarat,1514190
18,Amritsar,Punjab,2490656
19,Anand,Gujarat,2092745
20,Anantapur District,Andhra Pradesh,4081148
21,Anantnag,Jammu & Kashmir,1078692
22,Anjaw,Arunachal Pradesh,21167
23,Anugul,Odisha,1273821
24,Anuppur *,Madhya Pradesh,749237
25,Araria,Bihar,2811569
26,Ariyalur,Tamil Nadu,754894
27,Arwal *,Bihar,700843
28,Ashoknagar *,Madhya Pradesh,845071
29,Auraiya,Uttar Pradesh,1379545
30,Aurangabad,Bihar,2540073
31,Aurangabad,Bihar,3701282
32,Azamgarh,Uttar Pradesh,4613913
33,Badgam,Jammu & Kashmir,753745
34,Bagalkot,Karnataka,1889752
35,Bageshwar,Uttarakhand,259898
36,Baghpat,Uttar Pradesh,1303048
37,Bahraich,Uttar Pradesh,3487731
38,Baksa,Assam,950075
39,Balaghat,Madhya Pradesh,1701698
40,Balangir,Odisha,1648997
41,Baleshwar,Odisha,2320529
42,Ballia,Uttar Pradesh,3239774
43,Balrampur,Uttar Pradesh,2148665
44,Banas Kantha,Gujarat,3120506
45,Banda,Uttar Pradesh,1799410
46,Bandipore,Jammu & Kashmir,392232
47,Bangalore,Karnataka,9621551
48,Bangalore Rural,Karnataka,990923
49,Banka *,Bihar,2034763
50,Bankura,West Bengal,3596674
51,Banswara,Rajasthan,1797485
52,Barabanki,Uttar Pradesh,3260699
53,Baramula,Jammu & Kashmir,1008039
54,Baran,Rajasthan,1222755
55,Barddhaman,West Bengal,7717563
56,Bareilly,Uttar Pradesh,4448359
57,Bargarh,Odisha,1481255
58,Barmer,Rajasthan,2603751
59,Barnala,Punjab,595527
60,Barpeta,Assam,1693622
61,Barwani,Madhya Pradesh,1385881
62,Bastar,Chhattisgarh,1413199
63,Basti,Uttar Pradesh,2464464
64,Bathinda,Punjab,1388525
65,Baudh,Odisha,441162
66,Begusarai,Bihar,2970541
67,Belgaum,Karnataka,4779661
68,Bellary,Karnataka,2452595
69,Betul,Madhya Pradesh,1575362
70,Bhadrak,Odisha,1506337
71,Bhagalpur,Bihar,3037766
72,Bhandara,Maharashtra,1200334
73,Bharatpur,Rajasthan,2548462
74,Bharuch,Gujarat,1551019
75,Bhavnagar,Gujarat,2880365
76,Bhilwara,Rajasthan,2408523
77,Bhind,Madhya Pradesh,1703005
78,Bhiwani,Haryana,1634445
79,Bhojpur,Bihar,2728407
80,Bhopal,Madhya Pradesh,2371061
81,Bid,Maharashtra,2585049
82,Bidar,Karnataka,1703300
83,Bijapur,Chhattisgarh,255230
84,Bijapur,Chhattisgarh,2177331
85,Bijnor,Uttar Pradesh,3682713
86,Bikaner,Rajasthan,2363937
87,Bilaspur,Himachal Pradesh,2663629
88,Bilaspur,Himachal Pradesh,381956
89,Birbhum,West Bengal,3502404
90,Bishnupur,Manipur,237399
91,Bokaro,Jharkhand,2062330
92,Bongaigaon,Assam,738804
93,Budaun,Uttar Pradesh,3681896
94,Bulandshahar,Uttar Pradesh,3499171
95,Buldana,Maharashtra,2586258
96,Bundi,Rajasthan,1110906
97,Burhanpur *,Madhya Pradesh,757847
98,Buxar *,Bihar,1706352
99,Cachar,Assam,1736617
100,Chamarajanagar,Karnataka,1020791
101,Chamba,Himachal Pradesh,519080
102,Chamoli,Uttarakhand,391605
103,Champawat,Uttarakhand,259648
104,Champhai,Mizoram,125745
105,Chandauli,Uttar Pradesh,1952756
106,Chandel,Manipur,144182
107,Chandigarh,Chandigarh,1055450
108,Chandrapur,Maharashtra,2204307
109,Changlang,Arunachal Pradesh,148226
110,Chatra,Jharkhand,1042886
111,Chennai,Tamil Nadu,4646732
112,Chhatarpur,Madhya Pradesh,1762375
113,Chhindwara,Madhya Pradesh,2090922
114,Chikkaballapura,Karnataka,1255104
115,Chikmagalur,Karnataka,1137961
116,Chirang,Assam,482162
117,Chitradurga,Karnataka,1659456
118,Chitrakoot,Uttar Pradesh,991730
119,Chittaurgarh,Rajasthan,1544338
120,Chittoor District,Andhra Pradesh,4174064
121,Churachandpur,Manipur,274143
122,Churu,Rajasthan,2039547
123,Coimbatore,Tamil Nadu,3458045
124,Cuddalore,Tamil Nadu,2605914
125,Cuttack,Odisha,2624470
126,Dadra & Nagar Haveli,Dadra & Nagar Haveli,343709
127,Dakshin Bastar Dantewada *,Chhattisgarh,533638
128,Dakshin Dinajpur *,West Bengal,1676276
129,Dakshina Kannada,Karnataka,2089649
130,Daman,Daman & Diu,191173
131,Damoh,Madhya Pradesh,1264219
132,Darbhanga,Bihar,3937385
133,Darjiling,West Bengal,1846823
134,Darrang,Assam,928500
135,Datia,Madhya Pradesh,786754
136,Dausa,Rajasthan,1634409
137,Davanagere,Karnataka,1945497
138,Debagarh,Odisha,312520
139,Dehradun,Uttarakhand,1696694
140,Deoghar,Jharkhand,1492073
141,Deoria,Uttar Pradesh,3100946
142,Dewas,Madhya Pradesh,1563715
143,Dhalai,Tripura,378230
144,Dhamtari,Chhattisgarh,799781
145,Dhanbad,Jharkhand,2684487
146,Dhar,Madhya Pradesh,2185793
147,Dharmapuri,Tamil Nadu,1506843
148,Dharwad,Karnataka,1847023
149,Dhaulpur,Rajasthan,1206516
150,Dhemaji,Assam,686133
151,Dhenkanal,Odisha,1192811
152,Dhubri,Assam,1949258
153,Dhule,Maharashtra,2050862
154,Dibang Valley,Arunachal Pradesh,8004
155,Dibrugarh,Assam,1326335
156,Dima Hasao District,Assam,214102
157,Dimapur,Nagaland,378811
158,Dindigul,Tamil Nadu,2159775
159,Dindori,Madhya Pradesh,704524
160,Diu,Daman & Diu,52074
161,Doda,Jammu & Kashmir,409936
162,Dohad,Gujarat,2127086
163,Dumka,Jharkhand,1321442
164,Dungarpur,Rajasthan,1388552
165,Durg,Chhattisgarh,3343872
166,East,Nct Of Delhi,1709346
167,East District,Sikkim,283583
168,East Garo Hills,Meghalaya,317917
169,East Godavari District,Andhra Pradesh,5154296
170,East Kameng,Arunachal Pradesh,78690
171,East Khasi Hills,Meghalaya,825922
172,East Siang,Arunachal Pradesh,99214
173,Ernakulam,Kerala,3282388
174,Erode,Tamil Nadu,2251744
175,Etah,Uttar Pradesh,1774480
176,Etawah,Uttar Pradesh,1581810
177,Faizabad,Uttar Pradesh,2470996
178,Faridabad,Haryana,1809733
179,Faridkot,Punjab,617508
180,Farrukhabad,Uttar Pradesh,1885204
181,Fatehabad,Haryana,942011
182,Fatehgarh Sahib,Punjab,600163
183,Fatehpur,Uttar Pradesh,2632733
184,Firozabad,Uttar Pradesh,2498156
185,Firozpur,Punjab,2029074
