,country (nominal),population (discrete data),tests (discrete data),Gini (discrete data),%urban pop. (continuous data),Actual cases,Pop*1.1,Neural network Predictions EU,Neural network Predictions Hypo EU
0,Albania,2875589,506676,0.637,61,117474,3163147.9000000004,500450.5787129253,248682.93812435117
1,Austria,9042407,6033827,0.739,59,495464,9946647.7,907008.6976528764,482654.0283167064
2,Belgium,11624988,10110146,0.603,98,808283,12787486.8,951313.5294026732,852670.7224499136
3,Bosnia and Herzegovina,3266449,702920,0.642,49,142160,3593093.9000000004,489730.400865078,189979.6744687408
4,Croatia,4087440,1431342,0.645,57,251174,4496184.0,548812.6008640826,273129.4012714699
5,Cyprus,1213513,2563270,0.801,67,39651,1334864.3,766422.9822789282,223524.86168703806
6,Czechia,10722926,9665502,0.725,74,1402420,11795218.6,1048042.0681315958,658764.6619885266
7,Denmark,5806809,20418687,0.838,88,220459,6387489.9,1365088.6249415874,520528.81670819223
8,Estonia,1327161,1038888,0.716,69,86086,1459877.1,611765.6257793009,236132.30289430168
9,Finland,5546762,3596402,0.742,85,67334,6101438.2,827528.0828358084,490312.68447597325
10,France,65374874,57231533,0.696,81,4071662,71912361.4,3977561.5279181,3803271.341314673
11,Germany,83971874,46319641,0.816,77,2578835,92369061.4,4174935.0895806546,4473657.562671304
12,Greece,10387221,5856618,0.654,79,221147,11425943.1,855120.4913894981,707017.5921483785
13,Hungary,9643103,4104415,0.663,72,524196,10607413.3,811285.3782932758,613230.9620726258
14,Ireland,4976339,3720861,0.796,63,225741,5473972.9,856506.9198520333,342435.9621466026
15,Italy,60399338,44623304,0.669,71,3223142,66439271.8,3388119.316896736,3433927.9429311748
16,Latvia,1871486,1670193,0.789,68,93959,2058634.6,743896.4564619362,252222.17139564452
17,Lithuania,2695463,2218746,0.663,68,205644,2965009.3000000003,586645.2540061176,278781.52577885985
18,Luxembourg,633079,2248588,0.67,91,57877,696386.9,538757.5470812023,298451.00078142434
19,Moldova,4027371,771763,0.645,43,204463,4430108.100000001,497894.6289447248,179111.41037146
20,Netherlands,17161479,6970400,0.902,92,1157192,18877626.9,1422640.2683884203,1023992.3913517296
21,Norway,5450917,4115415,0.798,83,80440,5996008.7,913310.3944877088,477656.27700154483
22,Poland,37817481,10668987,0.677,60,1917527,41599229.1,1733164.5950216053,1865306.0488944051
23,Portugal,10175800,8480932,0.692,66,814257,11193380.0,943803.7511247993,591313.5842801183
24,Romania,19147305,6774562,0.647,54,862681,21062035.5,1073872.4571627975,907252.520296365
25,Serbia,8712609,3149048,0.676,56,516277,9583869.9,738351.5087072402,462768.3867162019
26,Slovak Republic,5461499,2200380,0.498,54,337960,6007648.9,401573.21887155616,383156.2588478178
27,Slovenia,2079139,976907,0.662,55,200579,2287052.9000000004,514093.25746268034,183023.37461304662
28,Spain,46767497,40292390,0.694,81,3183704,51444246.7,2861467.718556344,2670802.088606357
29,Sweden,10143382,6627544,0.867,88,712527,11157720.2,1183783.1491332352,698591.1551345736
30,Switzerland,8698941,5387481,0.705,74,570645,9568835.1,872687.3152984083,570777.3744280934
31,UK,68135945,103053938,0.746,84,4258438,74949539.5,5512878.495036244,3856548.27432692
32,Ukraine,43548757,7328468,0.847,69,1467548,47903632.7,2034346.336635351,2025230.6180135605
