,Unnamed: 0,Country,Population,Urban Population (%),Gini Index,Number of tests,Measured number of infections,Pop*1.1,Neural network Predictions test countries,Neural network Predictions hypothetical test countries
0,0,Papua New Guinea,8776109,13.25,0.419,112995,2269,9653719.9,-47134901562.240234,2464221331227.75
1,1,Guatemala,16604026,51.439,0.483,1411568,183014,18264428.6,-588826556979.625,4662213522461.0
2,2,Honduras,9746117,57.73,0.482,714929,178925,10720728.7,-298228026432.3125,2736591595642.0
3,3,Syria,17070135,54.821,0.375,103566,16556,18777148.5,-43201370399.453125,4793085674086.5
4,4,Yemen,29161922,37.273,0.367,62990,2908,32078114.200000003,-26275196673.500484,8188305192348.0
5,5,Afghanistan,38041754,25.754,0.278,465731,55985,41845929.400000006,-194276134970.89844,10681653861540.0
6,6,Indonesia,270625568,55.985,0.382,16610468,1430000,297688124.8,-6928950966392.5,75988333041180.98
7,7,Pakistan,216565318,36.907,0.316,9530000,609964,238221849.8,-3975375047582.75,60808925163464.99
8,8,Chad,15946876,23.279,0.433,119517,4328,17541563.6,-49855335273.083984,4477691449026.5
9,9,Egypt,100388073,42.73,0.315,2824316,191555,110426880.3,-1178144111094.5,28187750506323.0
10,10,Algeria,43053054,73.189,0.276,230861,115410,47358359.400000006,-96301299804.1035,12088753561254.0
11,11,Mozambique,30366036,36.528,0.54,454528,64516,33402639.6,-189603124129.1172,8526408007259.5
12,12,DRC,86790567,45.046,0.421,159469,27077,95469623.7,-66519812586.408195,24369739236973.0
