Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,108484802,1389.7064402264377,2691989,34.48477926261715,453589,2394323,30.67163355363164,81662,1.046102359312704,15836,
United States of America,Americas,27309503,8250.54,654538,197.74,179231,480464,145.15,21920,6.62,8699,Community transmission
India,South-East Asia,10916589,791.05,78395,5.68,11649,155732,11.28,652,0.05,90,Clusters of cases
Brazil,Americas,9809754,4615.06,311959,146.76,44299,238532,112.22,7520,3.54,1043,Community transmission
Russian Federation,Europe,4071883,2790.21,104602,71.68,14185,80126,54.91,3465,2.37,430,Clusters of cases
The United Kingdom,Europe,4027110,5932.16,97271,143.29,13307,116908,172.21,4816,7.09,621,Community transmission
France,Europe,3390070,5193.64,127565,195.43,20398,81226,124.44,2837,4.35,193,Community transmission
Spain,Europe,3041454,6505.12,49840,106.6,0,64217,137.35,1053,2.25,0,Community transmission
Italy,Europe,2710819,4483.52,85721,141.78,13523,93356,154.4,2353,3.89,311,Clusters of cases
Turkey,Europe,2579896,3058.96,55110,65.34,7706,27377,32.46,692,0.82,93,Community transmission
Germany,Europe,2334561,2786.41,50551,60.33,6114,64960,77.53,3443,4.11,218,Community transmission
Colombia,Americas,2190116,4304.23,38909,76.47,4947,57425,112.86,1732,3.4,229,Community transmission
Argentina,Americas,2025798,4482.27,49109,108.66,4245,50236,111.15,1126,2.49,48,Community transmission
Mexico,Americas,1988695,1542.43,62615,48.56,9741,173771,134.78,7985,6.19,1214,Community transmission
Poland,Europe,1588955,4198.41,38700,102.25,5334,40807,107.82,1720,4.54,98,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1518263,1807.61,51828,61.71,7390,58945,70.18,476,0.57,62,Community transmission
South Africa,Africa,1491807,2515.33,15672,26.42,1744,47899,80.76,1609,2.71,78,Community transmission
Ukraine,Europe,1271143,2906.55,26294,60.12,3094,24330,55.63,733,1.68,45,Community transmission
Peru,Americas,1227205,3721.98,46727,141.72,6457,43491,131.9,1370,4.16,236,Community transmission
Indonesia,South-East Asia,1223930,447.47,66093,24.16,13227,33367,12.2,1811,0.66,431,Community transmission
Czechia,Europe,1088009,10159.78,53034,495.23,5160,18143,169.42,908,8.48,85,Community transmission
Netherlands,Europe,1025837,5986.84,24207,141.27,4229,14793,86.33,443,2.59,67,Community transmission
Canada,Americas,823353,2181.52,22296,59.07,3047,21228,56.24,526,1.39,66,Community transmission
Portugal,Europe,784079,7689.53,22173,217.45,2856,15183,148.9,1229,12.05,149,Clusters of cases
Chile,Americas,776209,4060.48,24323,127.24,3814,19541,102.22,567,2.97,98,Community transmission
Romania,Europe,760091,3951.05,16748,87.06,2415,19325,100.45,516,2.68,48,Community transmission
Belgium,Europe,737115,6360.13,10363,89.42,2,21634,186.67,231,1.99,5,Community transmission
Israel,Europe,720393,8322.92,36500,421.7,4597,5335,61.64,268,3.1,35,Community transmission
Iraq,Eastern Mediterranean,643852,1600.73,15302,38.04,2224,13179,32.77,59,0.15,15,Community transmission
Sweden,Europe,608411,6024.31,17115,169.47,0,12428,123.06,51,0.5,0,Community transmission
Pakistan,Eastern Mediterranean,563029,254.89,8555,3.87,1404,12307,5.57,340,0.15,31,Community transmission
Philippines,Western Pacific,549176,501.16,11866,10.83,1921,11515,10.51,336,0.31,8,Community transmission
Bangladesh,South-East Asia,541038,328.52,2976,1.81,772,8285,5.03,80,0.05,19,Community transmission
Switzerland,Europe,538116,6217.67,5814,67.18,0,8982,103.78,70,0.81,0,Community transmission
Morocco,Eastern Mediterranean,478474,1296.31,3119,8.45,339,8477,22.97,83,0.22,17,Clusters of cases
Austria,Europe,428692,4759.86,9385,104.2,1325,8088,89.8,204,2.27,12,Community transmission
Serbia,Europe,419493,6023.94,13141,188.71,1622,4214,60.51,102,1.46,15,Community transmission
Japan,Western Pacific,415782,328.74,10792,8.53,1310,6952,5.5,557,0.44,40,Clusters of cases
Hungary,Europe,387462,4010.85,10967,113.53,1707,13706,141.88,616,6.38,70,Community transmission
Saudi Arabia,Eastern Mediterranean,372732,1070.64,2454,7.05,322,6432,18.48,30,0.09,4,Sporadic cases
United Arab Emirates,Eastern Mediterranean,348772,3526.37,22277,225.24,3167,1014,10.25,93,0.94,13,Community transmission
Jordan,Eastern Mediterranean,347250,3403.37,12096,118.55,2447,4455,43.66,76,0.74,11,Community transmission
Lebanon,Eastern Mediterranean,339122,4968.5,19205,281.37,2130,3993,58.5,377,5.52,32,Community transmission
Panama,Americas,331692,7687.37,5228,121.17,707,5621,130.27,166,3.85,26,Community transmission
Slovakia,Europe,276234,5059.56,14460,264.85,2330,5812,106.45,677,12.4,79,Clusters of cases
Nepal,South-East Asia,272840,936.41,915,3.14,226,2055,7.05,17,0.06,1,Clusters of cases
Ecuador,Americas,267223,1514.61,8941,50.68,1696,15321,86.84,309,1.75,52,Community transmission
Belarus,Europe,267029,2825.91,10070,106.57,1745,1840,19.47,67,0.71,10,Community transmission
Georgia,Europe,265557,6656.95,3533,88.56,357,3352,84.03,69,1.73,9,Community transmission
