country,tests,population,Population density,,Predicted cases,,Actual cases
UK,"103,053,938","68,135,945",270,,,,"4,258,438"
France,"57,231,533","65,374,874",105,,,,"4,071,662"
Italy ,"44,623,304","60,399,338",207,,,,"3,223,142"
Spain,"40,292,390","46,767,497",99,,,,"3,183,704"
Germany,"46,319,641","83,971,874",225,,,,"2,578,835"
Poland,"10,668,987","37,817,481",122,,,,"1,917,527"
Ukraine,"7,328,468","43,548,757",73,,,,"1,467,548"
Czechia,"9,665,502","10,722,926",136,,,,"1,402,420"
Netherlands,"6,970,400","17,161,479",416,,,,"1,157,192"
Romania,"6,774,562","19,147,305",89,,,,"862,681"
Portugal,"8,480,932","10,175,800",112,,,,"814,257"
Belgium,"10,110,146","11,624,988",384,,,,"808,283"
Sweden,"6,627,544","10,143,382",23,,,,"712,527"
Switzerland,"5,387,481","8,698,941",219,,,,"570,645"
Hungary,"4,104,415","9,643,103",105,,,,"524,196"
Serbia,"3,149,048","8,712,609",91,,,,"516,277"
Austria,"6,033,827","9,042,407",106,,,,"495,464"
Slovakia,"2,200,380","5,461,499",111,,,,"337,960"
Bulgaria,"1,841,263","6,911,593",63,,,,"278,557"
Croatia,"1,431,342","4,087,440",75,,,,"251,174"
Ireland,"3,720,861","4,976,339",74,,,,"225,741"
Greece,"5,856,618","10,387,221",80,,,,"221,147"
Denmark,"20,418,687","5,806,809",136,,,,"220,459"
Lithuania,"2,218,746","2,695,463",42,,,,"205,644"
Moldova,"771,763","4,027,371",99,,,,"204,463"
Slovenia,"976,907","2,079,139",104,,,,"200,579"
Bosnia,"702,920","3,266,449",75,,,,"142,160"
Albania,"506,676","2,875,589",107,,,,"117,474"
North Macedonia,"566,183","2,083,314",83,,,,"112,646"
Latvia,"1,670,193","1,871,486",29,,,,"93,959"
Estonia,"1,038,888","1,327,161",27,,,,"86,086"
Norway,"4,115,415","5,450,917",17,,,,"80,440"
Finland,"3,596,402","5,546,762",16,,,,"67,334"
Luxembourg,"2,248,588","633,079",243,,,,"57,877"
Cyprus,"2,563,270","1,213,513",131,,,,"39,651"
Monaco,"51,953","39,437",15470,,,,"2,107"
