county,population,cases,tests
"Abbeville County, SC",24527,67,101
"Acadia Parish, LA",62045,34,1092
"Accomack County, VA",32316,40,395
"Ada County, ID",481587,415,9137
"Adair County, IA",7152,138,116
"Adair County, KY",19202,21,64
"Adair County, MO",25343,10,144
"Adair County, OK",22194,38,41
"Adams County, CO",517421,614,10932
"Adams County, IA",3602,9,23
"Adams County, ID",4294,5,36
"Adams County, IL",65435,65,1528
"Adams County, IN",35777,20,566
"Adams County, MS",30693,28,22
"Adams County, ND",2216,,166
"Adams County, NE",31363,12,204
"Adams County, OH",27698,24,27
"Adams County, PA",103009,161,1228
"Adams County, WA",19983,22,55
"Adams County, WI",20220,24,477
"Addison County, VT",36777,40,1670
"Adjuntas Municipio, PR",19483,2,19
"Aguada Municipio, PR",41959,11,
"Aguadilla Municipio, PR",60949,15,29
"Aguas Buenas Municipio, PR",28659,10,
"Aibonito Municipio, PR",25900,3,
"Aiken County, SC",170872,781,710
"Aitkin County, MN",15886,17,395
"Alachua County, FL",269043,342,12327
"Alamance County, NC",169509,356,3504
"Alameda County, CA",1671329,1183,7304
"Alamosa County, CO",16233,27,264
"Albany County, NY",305506,410,9628
"Albany County, WY",38880,33,145
"Albemarle County, VA",109330,410,7606
"Alcona County, MI",10405,4,141
"Alcorn County, MS",36953,13,263
"Aleutians East Borough, AK",3337,6,686
"Aleutians West Census Area, AK",5634,94,137
"Alexander County, IL",5761,7,40
"Alexander County, NC",37497,83,503
"Alexandria city, VA",159428,186,2834
"Alfalfa County, OK",5702,8,28
"Alger County, MI",9108,2,953
"Allamakee County, IA",13687,56,229
"Allegan County, MI",118081,66,1864
"Allegany County, MD",70416,28,1669
"Allegany County, NY",46091,84,727
"Alleghany County, NC",11137,17,106
"Alleghany County, VA",14860,4,111
"Allegheny County, PA",1216045,1649,19569
"Allen County, IN",379299,426,2591
"Allen County, KS",12369,41,191
"Allen County, KY",21315,15,201
"Allen County, OH",102351,86,320
"Allen Parish, LA",25627,26,276
"Allendale County, SC",8688,43,129
"Alpena County, MI",28405,16,318
"Alpine County, CA",1129,1,
"Amador County, CA",39752,45,
"Amelia County, VA",13145,14,112
"Amherst County, VA",31605,41,335
"Amite County, MS",12297,10,3
"Añasco Municipio, PR",29261,5,4
"Anchorage Municipality, AK",288000,296,17011
"Anderson County, KS",7858,9,117
"Anderson County, KY",22747,20,180
"Anderson County, SC",202558,601,921
"Anderson County, TN",76978,178,344
"Anderson County, TX",57735,16,78
"Andrew County, MO",17712,7,24
"Andrews County, TX",18705,,3
"Androscoggin County, ME",108277,81,1403
"Angelina County, TX",86715,,32
"Anne Arundel County, MD",579234,568,12223
"Anoka County, MN",356921,345,13675
"Anson County, NC",24446,44,682
"Antelope County, NE",6298,2,19
"Antrim County, MI",23324,17,470
"Apache County, AZ",71887,121,482
"Appanoose County, IA",12426,169,191
"Appling County, GA",18386,30,100
"Appomattox County, VA",15911,29,132
"Aransas County, TX",23510,8,15
"Arapahoe County, CO",656590,720,16795
"Archer County, TX",8553,2,9
"Archuleta County, CO",14029,4,141
"Arecibo Municipio, PR",96440,35,26
"Arenac County, MI",14883,6,247
"Arkansas County, AR",17486,16,178
"Arlington County, VA",236842,281,4779
"Armstrong County, PA",64735,67,767
"Armstrong County, TX",1887,1,1
"Aroostook County, ME",67055,27,431
"Arroyo Municipio, PR",19575,3,1
"Arthur County, NE",,,1
"Ascension Parish, LA",126604,93,744
"Ashe County, NC",27203,47,376
"Ashland County, OH",53484,47,38
"Ashland County, WI",15562,4,292
"Ashley County, AR",19657,9,80
"Ashtabula County, OH",97241,294,348
"Asotin County, WA",22582,15,22
"Assumption Parish, LA",21891,18,221
"Atascosa County, TX",51153,11,60
"Atchison County, KS",16073,32,240
"Atchison County, MO",5143,,1
"Athens County, OH",65327,122,115
"Atkinson County, GA",8165,11,39
"Atlantic County, NJ",263670,673,5231
"Atoka County, OK",13758,20,43
"Attala County, MS",18174,6,97
"Audrain County, MO",25388,5,12
"Audubon County, IA",5496,28,77
"Auglaize County, OH",45656,34,192
"Augusta County, VA",75558,64,462
"Aurora County, SD",2751,,11
"Austin County, TX",30032,33,31
"Autauga County, AL",55869,94,602
"Avery County, NC",17557,19,271
"Avoyelles Parish, LA",40144,28,548
"Baca County, CO",3581,,207
"Bacon County, GA",11164,7,34
"Bailey County, TX",7000,2,
"Baker County, FL",29210,45,337
"Baker County, GA",3038,1,16
"Baker County, OR",16124,17,308
"Baldwin County, AL",223234,328,2162
"Baldwin County, GA",44890,64,335
"Ballard County, KY",7888,9,43
"Baltimore city, MD",593490,415,28503
"Baltimore County, MD",827370,710,22327
"Bamberg County, SC",14066,42,125
"Bandera County, TX",23112,1,8
"Banks County, GA",19234,34,96
"Banner County, NE",,,
"Bannock County, ID",87808,130,992
"Baraga County, MI",8209,3,58
"Barber County, KS",,,15
"Barbour County, AL",24686,28,147
"Barbour County, WV",16441,13,269
"Barceloneta Municipio, PR",24816,5,43
"Barnes County, ND",10415,5,648
"Barnstable County, MA",212990,208,7990
"Barnwell County, SC",20866,99,259
"Barranquitas Municipio, PR",30318,13,
"Barren County, KY",44249,111,474
"Barron County, WI",45244,57,958
"Barrow County, GA",83240,207,793
"Barry County, MI",61550,58,1126
"Barry County, MO",35789,17,5
"Bartholomew County, IN",83779,152,1083
"Barton County, KS",25779,16,184
"Barton County, MO",11754,13,3
"Bartow County, GA",107738,411,828
"Bastrop County, TX",88723,67,54
"Bates County, MO",16172,6,23
"Bath County, KY",12500,15,141
"Bath County, VA",,,25
"Baxter County, AR",41932,17,63
"Bay County, FL",174705,354,1545
"Bay County, MI",103126,70,1345
"Bayamón Municipio, PR",208116,155,166
"Bayfield County, WI",15036,2,438
"Baylor County, TX",3509,,1
"Beadle County, SD",18453,33,21
"Bear Lake County, ID",6125,5,16
"Beaufort County, NC",46994,100,1030
"Beaufort County, SC",192122,419,564
"Beauregard Parish, LA",37497,23,128
"Beaver County, OK",5311,29,4
"Beaver County, PA",163929,348,2578
"Beaver County, UT",6710,13,61
"Beaverhead County, MT",9453,6,201
"Becker County, MN",34423,51,1151
"Beckham County, OK",21859,13,38
"Bedford County, PA",47888,38,289
"Bedford County, TN",49713,36,113
"Bedford County, VA",78997,112,763
"Bee County, TX",32565,12,32
"Belknap County, NH",61303,56,509
"Bell County, KY",26032,88,429
"Bell County, TX",362924,26,153
"Belmont County, OH",67006,47,232
"Beltrami County, MN",47188,48,1007
"Ben Hill County, GA",16700,8,56
"Benewah County, ID",9298,28,121
"Bennett County, SD",3365,1,23
"Bennington County, VT",35470,68,4276
"Benson County, ND",6832,2,82
"Bent County, CO",5577,48,332
"Benton County, AR",279141,257,888
"Benton County, IA",25645,191,418
